id,text,class
29857225,"To investigate the factors affecting detectability of invasive breast cancers on BSGI. We evaluated BSGI, mammography and pathologic reports of 89 patients with invasive breast cancers. 87.6% were visible on BSGI. Cancer in old or postmenopausal women were more visible on BSGI (p?=?0.003, 0.046). Cancers????1.0?cm in size were significantly more visible on BSGI than those <1?cm in size (p?=?0.002). Cancers in fatty breasts were more visible than those in dense breasts (p?=?0.042). Invasive cancers in older, postmenopausal patients, cancers with size ??1.0?cm, and those with fatty breast are better visualized by BSGI, than those in younger, premenopausal patients, with size <1.0?cm and dense breast.",breast_neoplasms
29853749,"Skin cancer is the most common other primary cancer in patients with lymphoma. However, an intriguing association between cutaneous lymphoma and other primary cancers has been suggested in a few studies. This study investigated other primary cancers in patients with cutaneous lymphoma to evaluate the risk for occurrence of each type of cancer. We screened for other primary cancers in 428 patients with cutaneous lymphoma. Clinical features were analyzed according to the lineage and origin of the lymphomas. We calculated the standardized incidence ratio with statistical analysis for each group according to age. Among 330 patients with cutaneous T cell lymphoma and 98 with cutaneous B cell lymphoma, a total of 43 cancers in 38 patients were finally included. Other primary cancers were prevalent in patients with cutaneous B cell lymphoma and patients with secondary cutaneous lymphoma. However, those differences were not significant when the age was calibrated by multiple logistic regression. Metachronously higher standardized incidence ratios were observed for primary lung (standardized incidence ratio [SIR], 14.81; 95% confidence interval [CI], 3.05~39.54), skin (SIR, 68.05; 95% CI, 14.03~181.62), and breast (SIR, 12.91; 95% CI, 1.56~41.41) cancers with statistical significance. Other primary cancers more preferentially occurred in patients with cutaneous lymphoma. Clinicians should carefully examine patients with cutaneous lymphoma for other cancers, especially lung, skin, and breast cancers.",breast_neoplasms
29808426,"To assess patterns of parenchymal tissue on mammography in women with dense breasts and to determine how this varies with age and affects recall to assessment and cancer diagnosis. Breast density data was obtained in women attending routine mammographic screening from April 2013 to March 2015 using automated breast density assessment software. Women with the densest breasts were selected for visual interpretation of parenchymal pattern (PP). One hundred non-assessed women, aged 50, 55, 60, 65 and 69-71 years (total = 500), provided controls. Cases included women recalled for assessment (mastectomy or implants excluded) (total = 280). Mammograms reviewed by ten readers and PP classified as: (1) very smooth; (2) mainly smooth; (3) mixed; (4) mainly nodular; (5) very nodular. The ratio of women in each category at each age and screening outcomes were compared by Pearson's chi-squared test. Reader agreement for scoring PP was good (intraclass correlation = 0.6302). Proportions of women in each PP category were similar at all ages for controls (p = 0.147) and cases (p = 0.657). The ratio of PP categories did not vary significantly with age in those who underwent biopsy (p = 0.484). Thirty-four cancers were diagnosed. There was a significant correlation between a diagnosis of cancer and nodular PP compared to not nodular PP (p = 0.043). The ratio of smooth to nodular pattern in women with the densest breasts did not vary with age. The PP of the breast tissue did not affect likelihood of recall to assessment or biopsy. There was a significant relationship between a nodular parenchymal pattern and diagnosis of cancer. ? This paper shows that there is good agreement between mammogram readers when classifying mammographic PP on a five-point scale from very smooth to very nodular. ? In non-assessed women with the densest breasts, there is no significant change in the proportions of smooth to nodular patterns with increasing age. ? The likelihood of recall for further assessment or biopsy at assessment is not related to PP in women with highest breast density. ? When recalled for further assessment, significantly more women are diagnosed with cancer in the group with nodular PP on mammography when compared with smooth and mixed patterns.",breast_neoplasms
29801187,"Rehabilitation programs that support return to work become increasingly relevant for cancer survivors. In Germany, such programs were established as work-related medical rehabilitation (WMR). The study investigated whether WMR leads to better results compared to medical rehabilitation (MR). We report effects on secondary outcomes when the rehabilitation program was completed. Clusters of participants were randomly assigned to WMR or MR. Patients of working age and an elevated risk of not returning to work were included. The grade of implementation was assessed by dose delivered and dose received. Study outcomes were assessed using scales measuring functioning and symptoms, coping with illness as well as self-reported work ability. Treatment effects were estimated using mixed linear models. From 232 planned randomized intervention groups, 165 (71%) were realized. In total, 476 patients were included. Mean age of participants was 50.7 years (SD=7.3). Most frequent primary diagnoses were malignant neoplasms of the breast. Participants in the WMR program reported significantly better outcomes regarding quality of life (SMD=0.17-0.25), fatigue (SMD=0.18-0.27), coping with illness (SMD=0.17-0.22), and self-reported work-ability (SMD=0.16) compared to participants in MR program (all p<0.05). The results indicate a positive effect in favor of WMR for cancer patients with an elevated risk of not returning to work at the end of their treatment.",breast_neoplasms
29788687,"Breast reconstruction has become more common as mastectomy has become more frequent. In Korea, the National Health Insurance Service (NHIS) began covering breast reconstruction in April 2015. This study aimed to investigate trends in mastectomy and breast reconstruction over the past 10 years and to evaluate the impact of NHIS coverage on breast reconstruction. Nationwide data regarding mastectomy and breast reconstruction were collected from the Korean Breast Cancer Society registry database. Multiple variables were analyzed in the records of patients who underwent breast reconstruction from January 2005 to March 2017 at a single institution. At Seoul National University Hospital, the total number of reconstruction cases increased 13-fold from 2005 to 2016. The proportion of immediate breast reconstruction (IBR) cases out of all cases of total mastectomy increased from 4% in 2005 to 52.0% in 2016. The proportion of delayed breast reconstruction (DBR) cases out of all cases of breast reconstruction and the overall number of DBR cases increased from 8.8% (20 cases) in 2012 to 18.3% (76 cases) in 2016. After NHIS coverage was initiated, the proportions of IBR and DBR showed statistically significant increases (P<0.05). Among the IBR cases, the percentage of prosthesis-based reconstructions increased significantly (P<0.05), but this trend was not found with DBR. Total mastectomy became significantly more common after the expansion of NHIS coverage (P<0.05). Over the last decade, there has been an increase in mastectomy and breast reconstruction, and the pace of increase accelerated after the expansion of NHIS coverage. It is expected that breast reconstruction will be a routine option for patients with breast cancer under the NHIS.",breast_neoplasms
29778463,"Urinary 8-isoprostane is an established biomarker for lipid peroxidation. However, the association between its pre-diagnostic levels and cancer incidence has rarely been evaluated. 8793 older adults from the German ESTHER cohort were followed up for cancer incidence by cancer registry data. A directed acyclic graph was utilized to identify potential confounders. Multivariate Cox regression models were applied to estimate hazard ratios (HRs) and 95% confidence intervals (95% CI). During 14-year follow-up, 1540 incident cancer cases, including 207 lung, 196 colorectal, 218 breast and 245 prostate cancer cases were detected. 8-isoprostane concentrations were positively associated with lung cancer, but not with cancer at the other sites. The HR (95% CI) for the association with lung cancer was 1.61 (1.10, 2.34) for comparison of the top with bottom tertile in total population. The association of 8-isoprostane levels with lung cancer persisted after the adjustment for smoking and other potential confounders and was multiplicative to the effect of smoking. However, 8-isoprostane levels did not improve lung cancer prediction when added to a model containing age, sex and smoking. A protective association of increasing 8-isoprostane levels was observed for prostate cancer incidence but this association was only statistically significant among current smokers. Our findings suggest that lipid peroxidation is involved in the development of lung cancer. However, high oxidative stress may be a protective factor for prostate cancer, especially among current smokers.",breast_neoplasms
29768365,"Most breast masses are benign and are rare in adolescent girls. The most frequent tumor is fibroadenoma. Juvenile fibroadenoma is a rare variant of fibroadenoma and is characterized by rapidly enlarging, painless, and unilateral masses occurring at ages between 10 and 18 years. A 17-year-old girl who first presented to a hospital due to a left breast tumor. Juvenile fibroadenoma of the left breast. She underwent fibroadenoma excision, but she complained of a mass that presented in her left breast 3 months after surgery. After 2 years of observation, the mass became tender and enlarged. We conducted a wide excision of the tumor. Recurrent juvenile fibroadenoma with hypercellular fibromyxoid stroma of the breast was noted. The patient is in good general condition without tumor relapses during the 4 months of follow-up. Recurrent fibroadenomas, particularly those of a large size with a rapid growth rate, in the same breast suggest a high possibility of transformation. We recommend wide tumor resection.",breast_neoplasms
29768351,"Recently, several high-quality clinical randomized controlled trials (RCTs) have identified that cyclin-dependent kinases (CDKs) 4/6 inhibitors obtained a great safety and efficacy, which can be consequently applied as a combination therapy with letrozole or fulvestrant for women who had advanced breast cancer and progressed while receiving endocrine therapy. In this systemic review, we performed a meta-analysis to explore whether CDK4/6 inhibitors had a significantly benefit to treating hormone receptor-positive (HR-positive)/human epidermal growth factor receptor 2 negative (HER2-negative) advanced breast cancer. The data for meta-analysis were collected from MEDLINE, EMBASE, and Cochrane Library from January 1980 to December 2017, and eventually 3182 patients from 6 RCTs were included. The result showed the CDK4/6 inhibitor group had a longer progression-free survival (PFS) (hazard ratio?=?0.51; 95% confidence interval [CI], 0.46-0.57, P < .00001), a better objective response (risk rate?=?1.53; 95% CI, 1.35-1.74, P < .00001), as well as a better clinical benefit response (risk rate?=?1.29; 95% CI, 1.13-1.47, P?=?.0001). Besides, subgroup analyses of PFS according to stratification factors and other baseline characteristics confirmed a great performance of CDK4/6 inhibitors across the all subgroups. And sensitive analysis showed that all outcomes were stable except Finn 2014 trail. CDK4/6 inhibitors can significantly prolong the PFS and improve the objective response and clinical benefit response among the patients with HR-positive/ HER2-negative advanced breast cancer.",breast_neoplasms
29766934,"While brain metastases (BM) are the most common causes of neurologic disorders in patients with known systemic malignancies, they can often be the initial manifestations of an undetected primary elsewhere. BM are major causes of morbidity and mortality in cancer patients. We describe a mixed population (data from both retrospective and prospective collection) having a BM from a solid tumor. We report the percentage distribution of the most frequent types of BM, confirming the data published in the literature. This paper may play a role in presenting the Southeast Asian reality compared with the Western countries. A tertiary-care cancer centre. Data for 4 years were retrieved from the records of the Department of Pathology of our institute. Hematolymphoid and meningeal tumors were excluded. Hematoxylin and eosin (H and E) stained slides were reviewed, and in cases with an unknown primary, immunohistochemistry (IHC) was advised. The panel of markers was chosen based on the histomorphology on H and E sections. IHC was done in cases with an unknown primary where paraffin blocks were available. Lung cancer was found to be the most common primary malignancy (n = 30; 48.4%) followed by breast cancer (n = 13; 21%), colorectal cancer (n = 6; 9.6%), and skin cancer (melanoma) [n = 3; 4.8%]. The incidence of BM from lung and breast cancer was similar to that seen in the Western studies. However, BM from colorectal cancer and melanoma show a higher and lower incidence, respectively, in comparison with the Western literature.",breast_neoplasms
29764500,"18F-FDG PET/CT in the management of patients with clinical suspected EMP. 18F-FDG PET/CT scans performed in 21 patients (M/F?=?12/9, mean age 51.1????15.3?years) with clear suspicion of EMP from 2006 to 2015 were analysed retrospectively. The detection of ne",breast_neoplasms
